2025-03-04 10:52:27.943 | INFO     | apps.chat.routes:generate_rag_response:229 | Generated response successfully
2025-03-04 10:55:20.631 | INFO     | apps.chat.routes:process_query:447 | Processing query request: explain the documents in detail for conversation: e5f7c102-7762-4cb9-be7b-b4383ed39b1e
2025-03-04 10:56:46.988 | INFO     | core.vector_store.connection:close_connection:32 | Disconnected from Milvus
2025-03-04 10:56:46.988 | INFO     | __main__:lifespan:41 | Application shutdown complete
2025-03-04 10:57:10.171 | INFO     | __main__:reset_database:35 | Starting database reset...
2025-03-04 10:57:10.174 | INFO     | __main__:reset_database:38 | Dropping all tables...
2025-03-04 10:57:10.276 | INFO     | __main__:reset_database:42 | Creating new tables...
2025-03-04 10:57:10.434 | INFO     | __main__:reset_database:46 | Cleaning uploads directory...
2025-03-04 10:57:10.439 | INFO     | __main__:clean_uploads_directory:27 | Uploads directory cleaned and recreated
2025-03-04 10:57:10.439 | INFO     | __main__:reset_database:49 | Database reset completed successfully!
2025-03-04 10:57:27.253 | INFO     | __main__:reset_vector_store:17 | Starting vector store reset...
2025-03-04 10:57:27.340 | INFO     | core.vector_store.connection:ensure_connection:20 | Successfully connected to Milvus
2025-03-04 10:57:27.349 | INFO     | __main__:reset_vector_store:27 | Dropping collection: document_store
2025-03-04 10:57:27.364 | INFO     | __main__:reset_vector_store:31 | Creating new collection: document_store
2025-03-04 10:57:27.939 | INFO     | core.vector_store.utils:create_milvus_collection:33 | Created collection with auto-index: document_store
2025-03-04 10:57:28.820 | INFO     | __main__:reset_vector_store:35 | Collection created successfully with auto-index!
2025-03-04 10:57:28.825 | INFO     | core.vector_store.connection:close_connection:32 | Disconnected from Milvus
